TÊN ĐỊA DANH;Mã địa danh
Huyện Vụ Bản;36.359
Huyện Ý Yên;36.360
Huyện Nghĩa Hưng;36.361
Huyện Nam Trực;36.362
Huyện Trực Ninh;36.363
Huyện Xuân Trường;36.364
Huyện Giao Thủy;36.365
Huyện Hải Hậu;36.366
Tỉnh Ninh Bình;37
Thành phố Ninh Bình;37.369
Thị xã Tam Điệp;37.370
Huyện Nho Quan;37.372
Huyện Gia Viễn;37.373
Huyện Hoa Lư;37.374
Huyện Yên Khánh;37.375
Huyện Kim Sơn;37.376
Huyện Yên Mô;37.377
Tỉnh Thanh Hóa;38
Thành phố Thanh Hóa;38.380
Thị xã Bỉm Sơn;38.381
Thị xã Sầm Sơn;38.382
Huyện Mường Lát;38.384
Huyện Quan Hóa;38.385
Huyện Bá Thước;38.386
Huyện Quan Sơn;38.387
Huyện Lang Chánh;38.388
Huyện Ngọc Lặc;38.389
Huyện Cẩm Thủy;38.390
Huyện Thạch Thành;38.391
Huyện Hà Trung;38.392
Huyện Vĩnh Lộc;38.393
Huyện Yên Định;38.394
Huyện Thọ Xuân;38.395
Huyện Thường Xuân;38.396
Huyện Triệu Sơn;38.397
Huyện Thiệu Hóa;38.398
Huyện Hoằng Hóa;38.399
Huyện Hậu Lộc;38.400
Huyện Nga Sơn;38.401
Huyện Như Xuân;38.402
Huyện Như Thanh;38.403
Huyện Nông Cống;38.404
Huyện Đông Sơn;38.405
Huyện Quảng Xương;38.406
Huyện Tĩnh Gia;38.407
Tỉnh Nghệ An;40
Thành phố Vinh;40.412
Thị xã Cửa Lò;40.413
Thị xã Thái Hoà;40.414
Huyện Quế Phong;40.415
Huyện Quỳ Châu;40.416
Huyện Kỳ Sơn;40.417
Huyện Tương Dương;40.418
Huyện Nghĩa Đàn;40.419
Huyện Quỳ Hợp;40.420
Huyện Quỳnh Lưu;40.421
Huyện Con Cuông;40.422
Huyện Tân Kỳ;40.423
Huyện Anh Sơn;40.424
Huyện Diễn Châu;40.425
Huyện Yên Thành;40.426
Huyện Đô Lương;40.427
Huyện Thanh Chương;40.428
Huyện Nghi Lộc;40.429
Huyện Nam Đàn;40.430
